given_char,following_char,occurrences
10,10,1
10,65,1
10,66,1
10,73,1
10,74,1
10,79,1
10,80,2
10,84,1
32,34,8
32,40,1
32,50,1
32,65,32
32,66,28
32,67,6
32,68,8
32,69,15
32,70,21
32,71,22
32,72,40
32,73,9
32,74,7
32,75,4
32,76,21
32,77,11
32,78,1
32,79,1
32,80,31
32,82,8
32,83,15
32,84,21
32,85,1
32,86,2
32,87,5
32,89,6
32,97,209
32,98,67
32,99,73
32,100,51
32,101,31
32,102,54
32,103,21
32,104,87
32,105,91
32,106,7
32,107,10
32,108,18
32,109,43
32,110,18
32,111,101
32,112,79
32,113,1
32,114,29
32,115,76
32,116,283
32,117,21
32,118,6
32,119,64
32,121,2
32,226,2
34,32,4
34,44,2
34,46,2
34,77,1
34,98,1
34,111,1
34,112,1
34,115,1
34,117,1
34,118,1
34,119,1
39,32,1
39,68,2
39,115,21
40,115,1
41,46,1
44,32,109
44,48,1
45,71,2
45,82,2
45,99,1
45,100,3
45,103,1
45,104,1
45,105,1
45,109,1
45,110,1
45,111,4
45,112,1
45,115,2
45,119,1
45,121,1
46,10,9
46,32,54
48,32,1
48,48,2
49,44,1
50,49,1
58,32,1
59,32,6
65,77,1
65,102,1
65,108,4
65,114,12
65,115,2
65,116,14
66,97,13
66,101,14
66,111,1
66,117,1
67,72,1
67,104,2
67,111,3
68,101,1
68,105,3
68,117,6
69,109,15
70,101,2
70,114,19
71,97,2
71,101,14
71,108,1
71,114,2
71,117,5
72,79,1
72,97,22
72,101,1
72,105,1
72,111,16
73,32,1
73,73,1
73,86,2
73,100,2
73,109,2
73,110,1
73,114,1
73,116,1
74,101,8
75,119,4
76,97,3
76,101,12
76,105,5
76,111,1
77,32,1
77,101,4
77,111,7
77,117,2
78,97,1
79,65,1
79,110,1
79,116,1
80,97,30
80,101,1
80,105,1
80,114,1
82,97,3
82,101,7
83,97,7
83,101,1
83,104,3
83,112,2
83,117,1
83,119,1
84,104,22
85,110,1
86,32,1
86,46,1
86,108,1
86,114,1
87,97,3
87,101,1
87,105,1
89,101,1
89,117,5
97,32,50
97,39,3
97,44,2
97,45,1
97,46,1
97,97,2
97,98,27
97,99,31
97,100,42
97,102,2
97,103,6
97,104,6
97,105,19
97,107,17
97,108,78
97,109,11
97,110,155
97,112,18
97,114,83
97,115,35
97,116,103
97,117,42
97,118,15
97,119,3
97,121,4
98,32,1
98,34,1
98,44,1
98,46,1
98,97,7
98,98,1
98,99,1
98,100,1
98,101,29
98,105,10
98,106,1
98,108,25
98,111,7
98,114,9
98,115,1
98,117,5
98,121,16
99,32,5
99,97,46
99,99,2
99,101,51
99,104,26
99,105,26
99,107,10
99,108,4
99,111,46
99,113,1
99,114,14
99,115,1
99,116,14
99,117,7
99,121,1
100,32,164
100,34,1
100,39,3
100,44,7
100,45,3
100,46,3
100,59,2
100,97,19
100,100,2
100,101,78
100,103,1
100,105,24
100,108,1
100,109,1
100,111,7
100,114,2
100,115,11
100,117,6
100,118,6
100,119,3
100,121,1
101,32,353
101,34,3
101,39,2
101,44,17
101,45,3
101,46,6
101,97,41
101,98,1
101,99,22
101,100,69
101,101,18
101,102,13
101,103,8
101,104,5
101,105,38
101,107,1
101,108,40
101,109,38
101,110,125
101,111,3
101,112,7
101,114,151
101,115,125
101,116,41
101,117,2
101,118,24
101,119,6
101,120,8
101,121,11
102,32,60
102,44,1
102,45,1
102,46,1
102,97,10
102,101,18
102,102,3
102,105,14
102,108,2
102,111,25
102,114,8
102,116,3
102,117,9
103,32,58
103,41,1
103,44,3
103,46,1
103,97,12
103,101,24
103,103,3
103,104,20
103,105,11
103,108,4
103,110,4
103,111,5
103,114,11
103,116,2
103,117,5
103,121,1
104,32,51
104,44,6
104,46,3
104,97,61
104,101,205
104,105,59
104,108,2
104,109,1
104,110,2
104,111,35
104,114,9
104,115,2
104,116,11
104,117,9
104,119,2
104,121,4
105,39,1
105,44,1
105,97,22
105,98,13
105,99,47
105,100,31
105,101,31
105,102,8
105,103,16
105,104,4
105,108,33
105,109,15
105,110,151
105,111,30
105,112,4
105,114,23
105,115,112
105,116,82
105,118,14
105,122,4
106,101,1
106,105,4
106,111,2
106,117,1
107,32,9
107,44,1
107,97,6
107,101,8
107,105,20
107,108,2
107,110,4
107,111,15
107,115,3
108,32,69
108,39,3
108,44,7
108,45,2
108,46,4
108,97,39
108,100,16
108,101,66
108,102,4
108,105,39
108,108,42
108,109,1
108,111,23
108,112,1
108,115,16
108,116,7
108,117,8
108,118,1
108,121,29
109,32,17
109,44,3
109,46,5
109,97,26
109,101,58
109,105,14
109,109,1
109,111,14
109,112,32
109,115,5
109,117,5
109,121,2
110,32,139
110,39,2
110,44,7
110,45,2
110,46,9
110,59,1
110,97,14
110,98,1
110,99,39
110,100,106
110,101,76
110,102,7
110,103,79
110,104,1
110,105,20
110,108,4
110,109,1
110,110,18
110,111,19
110,115,33
110,116,52
110,118,6
110,121,3
111,32,87
111,39,4
111,44,1
111,97,2
111,99,8
111,100,6
111,102,59
111,103,8
111,104,2
111,105,8
111,107,1
111,108,23
111,109,28
111,110,117
111,111,8
111,112,24
111,114,73
111,115,16
111,116,26
111,117,48
111,118,17
111,119,35
111,121,4
112,32,5
112,44,1
112,97,18
112,101,35
112,104,8
112,105,19
112,108,29
112,111,32
112,112,5
112,114,30
112,115,5
112,116,10
112,117,8
113,117,2
114,32,89
114,39,2
114,44,12
114,45,6
114,46,2
114,97,49
114,98,1
114,99,5
114,100,12
114,101,120
114,102,1
114,103,5
114,104,2
114,105,52
114,107,15
114,108,4
114,109,14
114,110,7
114,111,76
114,112,2
114,114,15
114,115,32
114,116,20
114,117,13
114,118,7
114,121,6
115,32,236
115,34,2
115,39,1
115,44,18
115,45,2
115,46,15
115,58,1
115,59,2
115,97,16
115,99,15
115,101,83
115,102,1
115,103,2
115,104,11
115,105,40
115,107,5
115,108,2
115,109,2
115,111,17
115,112,25
115,114,2
115,115,47
115,116,54
115,117,17
115,121,2
116,32,111
116,39,3
116,44,12
116,46,3
