given_char,following_char,occurrences
10,10,3
10,66,3
10,72,6
10,73,18
10,84,3
10,87,3
10,89,6
32,73,9
32,78,3
32,83,3
32,97,42
32,98,9
32,99,3
32,100,15
32,101,15
32,102,15
32,103,9
32,104,3
32,105,30
32,107,12
32,108,15
32,109,6
32,110,6
32,111,18
32,112,12
32,114,3
32,115,15
32,116,39
32,117,3
32,119,51
32,121,6
39,109,3
39,116,12
44,32,18
45,116,3
46,10,42
66,117,3
72,101,3
72,117,6
73,32,12
73,39,3
73,102,3
73,110,3
73,116,6
78,105,3
83,97,3
84,104,3
87,101,3
89,111,6
97,32,15
97,98,6
97,99,6
97,100,6
97,108,12
97,109,3
97,110,9
97,114,6
97,115,3
97,116,15
97,118,3
97,121,9
98,97,3
98,105,3
98,108,3
98,115,3
98,117,3
98,121,3
99,97,3
99,101,12
99,104,6
99,114,3
99,116,3
100,32,27
100,46,6
100,101,3
100,105,12
100,110,6
100,111,6
100,115,3
101,32,63
101,44,9
101,46,3
101,97,6
101,100,3
101,101,3
101,108,6
101,110,18
101,111,3
101,114,6
101,115,6
101,116,12
101,120,9
102,32,15
102,46,3
102,105,3
102,111,3
102,114,3
102,117,6
103,32,6
103,46,9
103,101,3
103,104,3
103,117,6
104,32,6
104,46,3
104,97,18
104,101,15
104,105,6
104,111,15
104,115,3
104,121,6
105,99,9
105,100,3
105,101,6
105,103,9
105,107,3
105,108,6
105,109,3
105,110,24
105,111,3
105,115,27
105,116,9
105,118,3
106,111,3
107,101,3
107,105,6
107,110,6
108,32,12
108,100,12
108,101,3
108,102,3
108,105,12
108,108,18
108,111,6
108,115,3
108,121,6
109,32,6
109,46,3
109,101,6
109,105,3
109,111,6
109,117,3
109,121,3
110,32,15
110,39,12
110,45,3
110,97,3
110,99,6
110,100,21
110,101,3
110,103,6
110,105,3
110,106,3
110,110,6
110,111,9
110,115,9
110,116,6
110,121,6
111,32,21
111,97,3
111,98,3
111,101,3
111,102,12
111,109,6
111,110,12
111,112,3
111,114,12
111,115,6
111,116,3
111,117,24
111,119,6
111,121,3
112,101,3
112,104,3
112,108,3
112,114,6
114,32,9
114,46,3
114,100,3
114,101,15
114,105,3
114,108,6
114,110,3
114,111,6
114,117,3
115,32,24
115,44,3
115,46,6
115,97,6
115,101,18
115,105,3
115,110,3
115,111,9
115,116,9
115,117,3
116,32,54
116,46,3
116,101,9
116,104,39
116,105,3
116,111,6
116,114,3
116,117,3
116,119,3
116,121,3
117,32,9
117,99,3
117,103,3
117,108,6
117,109,6
117,110,15
117,114,9
117,116,9
117,121,3
118,101,3
118,105,3
119,32,6
119,97,6
119,101,15
119,104,15
119,105,3
119,111,15
120,105,9
121,32,24
121,44,6
121,46,3
121,101,3
121,109,3
121,111,3
121,115,6
